靠北,1936
就這,1932
回去,1929
來一,1926
男友,1923
底是,1919
了嗎,1916
的都,1915
的這,1913
噁心,1911
在幹,1911
機車,1908
要再,1906
聽到,1903
的小,1900
總是,1899
的沒,1896
你一,1891
去吃,1890
的阿,1887
為你,1887
外面,1883
不敢,1882
每個,1879
對不,1866
會被,1860
看了,1859
才會,1854
心的,1848
我家,1848
下午,1847
不太,1834
也要,1833
忘記,1833
害我,1831
老闆,1828
你還,1828
要的,1822
算是,1821
有時,1816
機會,1815
對方,1813
幾個,1809
點就,1807
幫我,1807
相信,1805
了啦,1804
房間,1801
再來,1801
衣服,1799
有我,1795
說的,1794
林北,1791
我去,1784
我現,1781
把我,1779
剛好,1777
努力,1777
該是,1776
分手,1775
吃了,1770
說什,1764
大的,1763
處理,1758
道你,1756
後一,1755
麻煩,1751
清楚,1744
你有,1744
拎北,1742
等等,1741
也有,1740
實在,1737
意思,1736
天氣,1733
吃的,1732
人在,1728
有多,1726
智障,1726
來說,1723
全部,1723
當初,1717
不出,1715
想吃,1712
喔喔,1708
然我,1707
在家,1705
一切,1703
天就,1700
是會,1697
進去,1693
生氣,1690
或是,1685
準備,1681
的大,1678
是好,1676
家的,1674
要跟,1674
讓你,1670
過來,1665
天我,1663
才能,1663
是那,1662
離開,1657
非常,1656
男人,1655
發生,1653
的跟,1653
說是,1649
喔幹,1643
認真,1640
也很,1635
下一,1634
一年,1632
聊天,1629
鄉民,1622
麼會,1617
幫你,1617
女人,1614
阿阿,1612
一篇,1611
有個,1606
一種,1604
我又,1602
浪費,1602
可愛,1600
台北,1598
可憐,1596
男生,1596
要吃,1596
醫生,1594
馬上,1592
他說,1591
不夠,1591
只好,1589
雞掰,1588
路上,1588
任何,1588
廢物,1587
很久,1586
轉錄,1585
重要,1585
難怪,1585
所有,1584
星期,1582
正常,1579
要怎,1576
都很,1575
就在,1567
樣我,1566
這裡,1566
就一,1565
第二,1560
事件,1558
你在,1557
好幾,1557
錄至,1556
說他,1552
好多,1552
了但,1551
趕快,1549
家人,1549
要一,1548
狀況,1547
一句,1545
次都,1545
呵呵,1544
早就,1543
就說,1542
同事,1541
常常,1539
件事,1538
很大,1538
不管,1535
嘻嘻,1534
面的,1531
後面,1530
那時,1529
奇怪,1529
你你,1527
幹真,1522
幹一,1519
我可,1516
麼好,1514
人就,1514
講話,1508
早餐,1506
天的,1505
著我,1504
超級,1501
這一,1495
拜託,1495
掉了,1481
麼要,1478
聲音,1476
原本,1471
永遠,1471
幹這,1470
一的,1470
推文,1467
好累,1464
的問,1463
晚餐,1463
很想,1460
痛苦,1460
就有,1459
好煩,1459
決定,1458
甚至,1457
得一,1457
的生,1454
來是,1451
的說,1450
還會,1448
幫忙,1447
睡不,1446
至看,1435
網路,1433
基本,1431
隨便,1431
一開,1429
是真,1429
報告,1428
多久,1428
舒服,1426
畢竟,1425
生的,1423
勒幹,1423
人我,1422
來不,1422
去的,1421
對你,1420
沒看,1419
社會,1419
身上,1418
中午,1418
多的,1413
爸爸,1412
看你,1409
幹不,1408
要來,1406
三個,1404
就很,1403
兩天,1401
無聊,1400
以上,1399
做的,1398
都還,1398
用的,1398
崩潰,1398
你也,1396
看我,1395
一半,1395
孩子,1394
遊戲,1394
有些,1394
不見,1392
心裡,1391
輩子,1390
千發,1390
來越,1389
她的,1388
財千,1388
財万,1388
万發,1388
財両,1388
両發,1388
除了,1387
小心,1383
當時,1383
起床,1381
天要,1379
了沒,1378
麼可,1376
啦我,1375
平常,1374
給他,1374
個禮,1371
果我,1367
身體,1367
多好,1366
不去,1366
越來,1364
說這,1359
的真,1358
人一,1355
另一,1354
甚麼,1350
難道,1349
結束,1342
幹點,1342
那一,1341
以不,1339
有錢,1337
話我,1336
不在,1336
多人,1334
了兩,1334
我以,1333
們這,1328
那我,1325
不就,1325
嗎你,1321
也只,1319
不多,1317
了可,1316
跑去,1315
的可,1315
女朋,1315
目前,1314
一生,1313
薪水,1313
會因,1312
回到,1309
是誰,1306
沒什,1305
你老,1304
感情,1303
在你,1299
沒關,1298
沒想,1292
我幹,1292
了那,1290
特別,1290
候我,1288
幾乎,1286
來看,1284
畢業,1282
本不,1282
的老,1279
洗澡,1279
說了,1278
吧我,1275
我已,1273
個女,1265
慢慢,1265
麼辦,1258
看著,1257
果然,1256
選擇,1255
的錢,1255
了他,1254
我才,1250
想睡,1246
休息,1242
道是,1240
時我,1239
吃完,1238
要這,1237
是被,1236
願意,1233
後還,1232
阿在,1228
然是,1227
愛的,1227
能不,1227
高中,1224
下次,1224
較好,1222
子的,1221
放假,1220
幸福,1219
我當,1218
我怎,1216
當我,1216
你自,1213
片中,1212
也就,1211
不下,1210
使用,1209
在的,1208
傻眼,1204
要是,1203
說話,1201
到不,1201
眼睛,1200
好久,1199
上次,1199
是為,1197
年的,1195
不喜,1195
那是,1195
道照,1193
的情,1192
也會,1191
要有,1191
有很,1190
又是,1190
點是,1190
嘛嗎,1190
像是,1184
麼這,1184
你我,1184
久沒,1184
這邊,1180
生日,1180
肥宅,1178
要出,1177
跟她,1176
友的,1174
不一,1174
忘了,1174
新年,1174
我他,1173
的男,1173
好人,1173
好難,1171
了真,1170
的想,1166
好可,1166
那天,1165
肥肥,1165
半夜,1163
接受,1163
在是,1161
的手,1161
實我,1160
單一,1160
一大,1157
不著,1157
生命,1155
拎老,1155
話說,1154
得到,1154
爸媽,1154
拎娘,1154
然還,1153
讓人,1153
的也,1153
天還,1153
說好,1151
是可,1150
好一,1150
前的,1149
要買,1148
班的,1148
本就,1145
一隻,1145
得好,1145
看的,1143
看起,1143
飲料,1143
一整,1137
了也,1136
的工,1136
人說,1135
了要,1134
話就,1133
就只,1131
然就,1131
還說,1130
認為,1128
裡的,1128
他人,1128
的朋,1128
人要,1126
壓力,1125
有那,1125
幾次,1121
就跟,1121
注意,1120
是妳,1119
走了,1118
日子,1118
上課,1116
幹為,1116
些人,1113
於是,1111
找到,1111
還真,1109
是最,1108
當不,1108
邊的,1107
還以,1107
上我,1104
要求,1104
們家,1104
得不,1103
過一,1103
是自,1098
差點,1097
之間,1096
電影,1096
上面,1095
句話,1094
了啊,1094
年快,1091
到他,1090
發文,1088
過這,1087
的學,1084
重點,1079
大聲,1078
不如,1077
一張,1076
又沒,1075
也許,1073
隔壁,1070
就被,1070
為單,1070
完了,1068
吧幹,1068
麼時,1067
件而,1067
運動,1064
會想,1063
為是,1061
上去,1061
幹還,1061
要把,1061
還可,1060
點多,1058
麼大,1058
加油,1057
本沒,1054
要上,1054
有好,1053
頭髮,1053
天早,1052
人了,1051
要被,1049
結婚,1047
自以,1045
習慣,1045
情況,1045
娘幹,1043
人是,1043
下的,1043
父母,1043
簡單,1042
找我,1042
囧囧,1042
前面,1041
的嗎,1040
我最,1039
在還,1039
是還,1039
的自,1038
了很,1035
厲害,1033
想想,1033
辛苦,1032
人也,1030
的電,1029
教授,1029
還一,1029
麼事,1028
為他,1027
快點,1026
主管,1026
在想,1025
上一,1025
好啦,1025
討論,1025
面對,1024
買的,1024
可怕,1024
我對,1023
不對,1023
去找,1022
沒錢,1022
有問,1021
差不,1021
曾經,1021
精神,1020
我今,1020
板轉,1019
還想,1018
或許,1017
的只,1015
果你,1015
想去,1014
了什,1013
是看,1011
明就,1010
一件,1008
也好,1008
能夠,1007
的啦,1007
樣就,1007
找不,1007
超過,1006
把你,1005
拎杯,1005
抱怨,1004
道要,1004
進來,1004
過程,1003
天晚,1000
被你,1000
搞定,1000
兒子,997
那就,995
這件,995
警察,994
看過,994
人還,994
要看,993
們都,992
過年,991
新的,990
天一,989
類的,989
便宜,989
會這,987
老人,987
點半,986
好看,986
我心,985
去我,985
男朋,984
睡了,983
關心,983
被我,982
好痛,982
就開,981
來還,981
後又,981
要在,978
很有,977
的樣,977
睡到,977
銘言,975
醫院,974
莫名,974
之銘,973
爽爽,973
吃一,973
上了,972
為這,972
了有,972
你會,972
晚班,972
要用,971
上來,968
了現,967
以這,967
本上,967
這時,966
之類,966
我那,964
麼樣,962
們不,962
的機,962
對了,961
喔我,961
買一,961
引述,959
今年,959
我到,959
阿幹,958
她說,958
了所,957
絕對,956
他就,955
新聞,955
恐怖,955
的超,954
種人,954
擔心,954
跟妳,951
了然,949
你可,948
國中,948
然不,947
讓他,946
來這,946
別的,946
很煩,946
個不,945
了是,945
久了,944
從來,943
也都,943
的同,942
麼的,942
如何,942
好笑,942
也可,942
要回,941
要開,941
直在,940
直到,939
如此,939
的看,939
做了,938
廢文,938
定是,937
上就,936
的但,936
傷害,934
資料,934
不完,934
正妹,934
沒用,933
的文,933
學長,933
天是,933
經過,930
定會,930
啊你,930
態度,929
順便,928
做事,928
不同,927
這幾,927
是人,926
剩下,926
了結,926
他不,925
廁所,925
天不,925
不給,924
來幹,923
幾年,923
都可,922
吃到,921
子我,920
等到,919
影響,919
我了,919
兩次,919
一邊,918
看一,918
到就,918
放在,917
為何,916
下就,916
受不,916
有你,915
你沒,915
錯了,914
所謂,913
才發,913
身邊,913
的到,912
幹今,912
是大,911
的意,911
會在,911
累的,911
說一,910
理由,910
想跟,910
沒吃,909
想起,909
也太,908
內容,907
不小,907
帳號,906
能力,904
問你,904
的關,904
他是,903
麼爛,903
成這,903
第三,901
解決,901
前一,900
到處,900
樂新,900
我來,900
煩死,900
是只,899
你以,899
放棄,899
咖啡,899
的結,899
點了,899
冷氣,898
天沒,898
不舒,897
打到,895
得自,894
還能,894
人幹,893
點的,891
人會,889
只想,889
白痴,889
我剛,889
好是,888
錢的,887
來沒,887
的家,886
死我,885
笑死,885
不住,884
要做,884
會很,883
我從,883
這兩,883
是三,882
高哥,881
高雄,879
怪的,879
事我,878
死人,878
左右,877
的對,876
麼一,876
你跟,876
再去,876
果是,875
日本,875
我大,875
意的,875
一分,875
要等,874
麼你,872
情緒,872
就像,871
妳說,870
感冒,869
啊不,869
情不,866
在哪,866
才是,864
客人,864
不容,862
嗎不,862
總之,862
該不,861
會說,860
味道,860
照顧,860
阿我,860
沒啥,859
研究,857
訴我,857
次我,856
小姐,856
小的,855
不開,854
沒錯,854
附近,853
年前,852
了只,852
要死,851
就去,850
來到,849
勒操,849
了妳,848
比賽,848
會去,847
幹有,847
想法,846
都說,846
很可,845
妳不,845
故意,844
的日,843
在不,842
原因,841
持續,841
有事,840
年輕,840
有在,839
之一,839
到家,839
樓下,837
那你,837
到那,836
乾脆,836
一路,835
比我,835
開了,834
就知,834
天下,834
到有,834
尤其,833
的在,833
騎車,833
了今,833
負責,832
說那,831
幹妳,831
三天,831
女孩,830
娘的,830
在看,830
是她,829
吃不,829
在外,829
哭哭,825
來吃,825
想看,825
交往,824
得這,824
便當,824
可不,823
醒來,823
方式,822
一群,822
午餐,822
是對,821
順利,821
看來,821
不需,821
全不,821
欸幹,821
腦袋,819
你怎,816
全家,816
拜六,816
老蘇,816
了大,815
就覺,815
室友,814
